Gender,Age,Occupation,City,CityStay,Marital_Status,Category
M,0-17,1,A,0,0,1
F,18-25,2,B,1,1,2
M,26-35,3,C,2,1,3
F,36-45,4,A,3,0,4
M,46-60,5,B,4+,1,5
F,51-55,6,C,1,0,6
M,55+,7,A,2,1,7
F,0-17,8,B,3,1,8
M,18-25,9,C,4+,1,9
F,26-35,10,A,1,1,10
M,26-35,11,B,2,1,11
F,26-35,12,C,3,1,12
M,26-35,13,A,4+,1,13
F,26-35,14,B,1,1,14
M,26-35,15,C,2,1,15
F,26-35,16,A,3,1,16
M,26-35,17,B,4+,1,17
F,26-35,18,C,1,1,18
M,26-35,19,A,2,1,2
F,26-35,20,B,3,1,1
M,26-35,0,A,1,1,1
M,26-35,15,A,4+,0,8
F,55+,14,B,1,0,14
F,55+,14,B,2,1,14
F,18-25,7,B,2,1,2
M,26-35,8,C,3,0,3
M,0-17,9,A,4+,1,4
F,18-25,10,B,1,1,5
M,26-35,11,A,4+,1,6
M,0-17,12,B,2,0,7
M,55+,13,C,3,0,8
F,51-55,14,A,1,0,9
M,55+,15,B,2,1,10
F,0-17,16,A,3,1,11
M,0-17,17,B,4+,0,12
F,18-25,1,C,1,1,13
M,26-35,2,A,1,1,14
